,latitude,longitude,time,elevation_change,elevation,speed,day,distance,gradient
8915,50.95923023298383,-0.8688715193420649,1714903387.0,-0.399993896484375,219.8000030517578,4.929641972411066,3,6.983532773081244,-0.09565927108716454
8916,50.95924850553274,-0.8687795698642731,1714903392.0,-0.600006103515625,219.1999969482422,4.90751411389266,3,6.772559953069098,-0.09977394423560618
8917,50.95927105285227,-0.8686844352632761,1714903397.0,-0.8000030517578125,218.39999389648438,4.839684199884653,3,7.13922885577352,-0.10606430332102207
8918,50.95927675254643,-0.8686506561934948,1714903399.0,-0.1999969482421875,218.1999969482422,4.766375811614166,3,2.456531450761167,-0.11386420564387371
8919,50.959301982074976,-0.8685488998889923,1714903405.0,-1.1999969482421875,217.0,4.7236456547959085,3,7.6805113601110095,-0.11966423259475129
8920,50.95931774005294,-0.8685006201267242,1714903408.0,-0.600006103515625,216.39999389648438,4.727397900653819,3,3.8182997443777627,-0.11956801983589194
8921,50.95933249220252,-0.8684707805514336,1714903410.0,-0.399993896484375,216.0,4.766814056254453,3,2.662452064033554,-0.11311118942298415
8922,50.959360571578145,-0.8683440461754799,1714903417.0,-0.399993896484375,215.60000610351562,4.811381530225814,3,9.436270861169934,-0.1043785797882661
8923,50.959397200495005,-0.8682194072753191,1714903424.0,-0.600006103515625,215.0,4.827692514751978,3,9.658656143258,-0.09859698845167775
8924,50.95941354520619,-0.8681636676192284,1714903427.0,-0.600006103515625,214.39999389648438,4.798490124702872,3,4.317745715666521,-0.09789326025233461
8925,50.95943802036345,-0.8680267073214054,1714903435.0,-0.79998779296875,213.60000610351562,4.733477783326897,3,10.000478297466815,-0.10060302543934141
8926,50.95947624184191,-0.8678731508553028,1714903444.0,-1.0,212.60000610351562,4.661546273846893,3,11.59637431938214,-0.10349647561349892
8927,50.959479846060276,-0.8678567223250866,1714903445.0,-0.20001220703125,212.39999389648438,4.609827122922521,3,1.2219082160509593,-0.10406756304242284
8928,50.959513457491994,-0.8677392918616533,1714903452.0,-0.79998779296875,211.60000610351562,4.5906735066873425,3,9.05829003601445,-0.10215594907444298
8929,50.959523767232895,-0.8676873240619898,1714903455.0,-0.4000091552734375,211.1999969482422,4.6086433791038255,3,3.8270955858244635,-0.10025687945633677
8930,50.95956115052104,-0.8675377070903778,1714903464.0,-0.1999969482421875,211.0,4.671278540006258,3,11.304668754607516,-0.1011195131054512
8931,50.95957196317613,-0.8674873318523169,1714903467.0,-0.600006103515625,210.39999389648438,4.781265351749043,3,3.7381209060599714,-0.10462617186982948
8932,50.95959333702922,-0.8673822227865458,1714903473.0,-1.0,209.39999389648438,4.915877555061554,3,7.7581861998614965,-0.10822376025391653
8933,50.95959719270468,-0.8673593401908875,1714903474.0,-0.1999969482421875,209.1999969482422,5.029164950569913,3,1.66393606164187,-0.1105382502393864
8934,50.959632396698,-0.8671891037374735,1714903483.0,-0.5999908447265625,208.60000610351562,5.087886756488838,3,12.585435834084274,-0.11287271114286616
8935,50.959638180211186,-0.8671502955257893,1714903485.0,-0.4000091552734375,208.1999969482422,5.097412653180667,3,2.8014931942694012,-0.11674869657978063
8936,50.959659637883306,-0.86703110486269,1714903492.0,-1.1999969482421875,207.0,5.080248063169987,3,8.707749991673873,-0.12165219301817343
8937,50.95966508612037,-0.867009311914444,1714903493.0,-0.1999969482421875,206.8000030517578,5.040659141834912,3,1.646739703939289,-0.12569035610693188
8938,50.95968729816377,-0.8669181168079376,1714903498.0,-0.8000030517578125,206.0,4.967879708924278,3,6.867214334258898,-0.12695930273807213
8939,50.959703642874956,-0.8668294362723827,1714903503.0,-1.0,205.0,4.865173599005911,3,6.4904634450482686,-0.1239724689747859
8940,50.95970674417913,-0.8668114151805639,1714903504.0,-0.1999969482421875,204.8000030517578,4.755871633171898,3,1.3122992638656108,-0.11664408623993984
8941,50.95972962677479,-0.8666878659278154,1714903511.0,-0.8000030517578125,204.0,4.663479274219135,3,9.045949677733656,-0.10775218217618365
8942,50.95973649993539,-0.866636149585247,1714903514.0,-0.1999969482421875,203.8000030517578,4.5990719875392125,3,3.713089168901212,-0.10170421269516482
8943,50.95974437892437,-0.8664499036967754,1714903524.0,-0.8000030517578125,203.0,4.56641143581885,3,13.114663717492203,-0.10040288581147991
8944,50.95974303781986,-0.8664178010076284,1714903526.0,-0.399993896484375,202.60000610351562,4.569067418016942,3,2.26041275959489,-0.10122258579547563
8945,50.959746642038226,-0.8662981912493706,1714903532.0,-1.0,201.60000610351562,4.610114992964244,3,8.413150661853127,-0.10010432626427623
8946,50.9597463067621,-0.8662487380206585,1714903535.0,-0.20001220703125,201.39999389648438,4.686152557420456,3,3.474704943086106,-0.09525156211214744
8947,50.959732476621866,-0.8660591393709183,1714903545.0,-1.0,200.39999389648438,4.779896668605797,3,13.40945813111968,-0.08636346856254867
8948,50.95973163843155,-0.866038603708148,1714903546.0,-0.1999969482421875,200.1999969482422,4.859555255516991,3,1.4458133318862159,-0.07200797501820354
